ROBO_ID;REG_DATE;JT1;JT2;JT3;JT4;JT5;JT6;JT7;JT8
1;20.01.2022;3,3;13,4;5,9;2,1;4,9;1;1,8;0
1;30.04.2022;3,4;18,7;5,9;2;4,9;1,1;1,8;0
1;29.04.2022;3,4;17,5;5,9;2,1;4,9;1,1;1,8;0
1;28.04.2022;3,3;17;5,9;2;4,9;1,1;1,8;0
1;27.04.2022;3,4;16,8;5,9;2;4,9;1,1;1,8;0,1
1;25.04.2022;3,3;16,7;5,9;2;4,9;1,3;1,8;0
1;26.04.2022;3,4;16,7;5,9;2;4,9;1,3;1,8;0
1;7.05.2022;3,4;19,1;5,9;2;4,9;1,2;1,8;0,1
1;9.05.2022;3,4;19,2;5,9;2;5;1,4;1,8;0
1;10.05.2022;3,4;19,3;5,9;2;5;1,5;1,8;0
1;18.05.2022;3,4;22,7;5,9;2;5;1,5;1,8;0,1
1;24.04.2022;3,4;16,1;5,9;2;4,9;1,4;1,8;0
1;23.04.2022;3,4;16,1;5,9;2;4,9;1,4;1,8;0
1;2.05.2022;3,4;19;5,9;2;4,9;1,1;1,8;0
1;3.05.2022;3,4;19;5,9;2;4,9;1,1;1,8;0
1;4.05.2022;3,4;18,8;5,8;2,2;4,9;1,2;1,9;0,1
1;16.05.2022;3,4;22,6;5,9;2;5;1,8;1,8;0
1;17.05.2022;3,4;22,8;5,9;2;5,1;1,6;1,8;0
1;13.05.2022;3,4;20,7;5,9;2;5;1,7;1,8;0,1
1;14.05.2022;3,4;21,6;5,9;2;5;1,8;1,8;0
1;15.02.2022;3,3;13,9;5,9;2;4,9;1;1,8;0
1;16.02.2022;3,3;13,8;5,9;2;4,9;1;1,7;0
1;17.02.2022;3,3;13,8;5,9;2;4,9;1;1,8;0
1;18.02.2022;3,3;13,9;6;2;4,9;1;1,8;0
1;19.02.2022;3,3;13,9;6;2;4,9;1;1,8;0
1;20.02.2022;3,3;13,8;6;2;4,9;1;1,8;0
1;21.02.2022;3,3;13,9;6;2;4,9;1;1,8;0
1;22.02.2022;3,3;13,9;5,9;2;4,9;1;1,8;0
1;23.02.2022;3,3;13,8;5,9;2;4,9;1;1,7;0
1;25.02.2022;3,3;13,9;5,9;2;4,9;1;1,8;0,1
1;24.02.2022;3,3;13,9;5,9;2;4,9;1;1,8;0
1;24.05.2022;3,4;22,8;5,9;2;5;1,5;1,8;0,1
1;25.05.2022;3,4;22,8;5,9;2;5;1,6;1,8;0
1;26.05.2022;3,4;22,8;5,9;2;5;1,8;1,7;0
1;26.02.2022;3,3;13,9;5,9;2;4,9;1;1,8;0,1
1;27.02.2022;3,3;13,9;5,9;2;4,9;1;1,7;0
1;28.02.2022;3,3;13,9;5,9;2;4,9;1;1,8;0
1;1.03.2022;3,3;13,9;5,9;2;4,9;1;1,8;0,1
1;2.03.2022;3,3;13,9;5,9;2;4,9;1;1,8;0,1
1;3.03.2022;3,3;13,9;5,9;2;4,9;1;1,8;0
1;4.03.2022;3,3;13,9;6;2;4,9;1;1,8;0
1;5.03.2022;3,3;13,9;5,9;2;4,9;1;1,8;0
1;6.03.2022;3,3;13,8;5,9;2,1;4,9;1;1,8;0,1
1;7.03.2022;3,3;13,8;5,9;2,1;4,9;1;1,8;0,1
1;8.03.2022;3,3;13,8;5,9;2,1;4,9;1;1,8;0,1
1;9.03.2022;3,3;13,8;5,9;2,1;4,9;1;1,8;0,1
1;10.03.2022;3,4;14,1;5,9;2,5;4,9;1,3;1,8;0,1
1;11.03.2022;3,4;14,1;5,9;2,5;4,9;1,3;1,8;0,1
1;12.03.2022;3,3;14,1;5,9;2,3;4,9;1,3;1,8;0
1;13.03.2022;3,3;14;5,9;2,2;5;1,2;1,8;0
1;14.03.2022;3,3;14;5,9;2,1;5;1,6;1,8;0
1;15.03.2022;3,4;14;5,9;2,1;5;1,4;1,8;0
1;16.03.2022;3,3;14;5,9;2,1;5;1,4;1,8;0
1;17.03.2022;3,3;13,9;5,9;2,1;5;1,5;1,8;0,1
1;18.03.2022;3,4;14;5,9;2,1;4,9;1,2;1,7;0
1;19.03.2022;3,3;14;5,9;2,1;4,9;1,2;1,8;0,1
1;20.03.2022;3,3;14;5,9;2,1;4,9;1,2;1,7;0
