ROBO_ID;TEMP_VALUE;REG_DATE;JT1_e;JT2_e;JT3_e;JT4_e;JT5_e;JT6_e;JT7_e;JT8_e;JT1_c;JT2_c;JT3_c;JT4_c;JT5_c;JT6_c;JT7_c;JT8_c;CODE
1;65.08695652;1.03.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.05;0;3.3;13.9;5.9;2;4.9;1;1.8;0.1;
1;68.08695652;1.04.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.05;0;3.4;14;5.9;2;5;2.1;1.7;0.1;
1;65.82608696;1.06.2022;-1.72;41.66;-65.77;28.27;79.08;12.85;220.08;0;3.4;22.4;5.8;2.1;4.9;1.1;1.8;0;
1;68.56521739;1.07.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.05;0;3.3;16.7;6;2;5;1.3;1.7;0.1;
1;59.86956522;10.03.2022;-1.72;41.66;-65.77;28.28;79.08;12.85;220.08;0;3.4;14.1;5.9;2.5;4.9;1.3;1.8;0.1;
1;62.52173913;10.04.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.05;0;3.3;14;6;2;4.9;1.5;1.8;0.1;
1;63.26086957;10.05.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.06;0;3.4;19.3;5.9;2;5;1.5;1.8;0;
1;67.86956522;10.06.2022;-1.72;41.66;-65.77;28.27;79.08;12.85;220.06;0;3.4;22.7;5.9;2;5;1.4;1.7;0;
1;65.39130435;10.07.2022;-1.47;40.07;-45.05;49.95;55.12;10.93;199.78;0;1.3;17.3;6.2;1.7;3.7;0.9;0.9;0;E1043
1;65.39130435;10.07.2022;-1.47;40.07;-45.05;49.95;55.12;10.93;199.78;0;1.3;17.3;6.2;1.7;3.7;0.9;0.9;0;E1043
1;58.73913043;11.03.2022;-1.72;41.66;-65.77;28.28;79.08;12.85;220.08;0;3.4;14.1;5.9;2.5;4.9;1.3;1.8;0.1;
1;61.26086957;11.04.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.05;0;3.3;14.1;5.9;2.1;4.9;1.2;1.7;0.1;
1;63.91304348;11.05.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.06;0;3.4;19.6;5.9;2;5;1.6;1.8;0.1;
1;66.26086957;11.06.2022;-1.72;41.66;-65.77;28.27;79.08;12.85;220.06;0;3.4;22.7;5.9;2;5;1.1;1.8;0;
1;63.95652174;11.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;E5055
1;63.95652174;11.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;E5055
1;63.95652174;11.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;E5055
1;63.95652174;11.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;E5055
1;58.56521739;12.03.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.07;0;3.3;14.1;5.9;2.3;4.9;1.3;1.8;0;
1;61.7826087;12.04.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.05;0;3.3;14;5.9;2.1;4.9;1.3;1.7;0.1;
1;64.7826087;12.05.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.06;0;3.4;20.1;5.9;2;5;1.9;1.8;0;
1;64.47826087;12.06.2022;-1.72;41.66;-65.77;28.27;79.08;12.85;220.06;0;3.4;22.4;5.9;2.1;4.9;1.1;1.7;0;
1;64.7826087;12.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;
1;57.69565217;13.03.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.07;0;3.3;14;5.9;2.2;5;1.2;1.8;0;
1;60.83333333;13.04.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.06;0;3.3;14;5.9;2;4.9;1.2;1.8;0;
1;64.86956522;13.05.2022;-1.72;41.66;-65.77;28.27;79.08;12.85;220.06;0;3.4;20.7;5.9;2;5;1.7;1.8;0.1;
1;66.30434783;13.06.2022;-1.72;41.66;-65.77;28.27;79.08;12.85;220.06;0;3.4;22.7;5.9;1.9;5;1.4;1.8;0;
1;65.34782609;13.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;E1043
1;65.34782609;13.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;E1043
1;65.34782609;13.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;E1043
1;65.34782609;13.07.2022;-1.79;41.63;-65.79;28.37;79.04;12.87;220.05;0;2;15.8;4.9;1.9;4.5;0.9;1.3;0;E1043
1;63.73913043;14.03.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.06;0;3.3;14;5.9;2.1;5;1.6;1.8;0;
1;65.65;14.05.2022;-1.72;41.66;-65.77;28.27;79.08;12.85;220.06;0;3.4;21.6;5.9;2;5;1.8;1.8;0;
1;67.56521739;14.06.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.06;0;3.3;14.3;6;2;4.9;1.5;1.7;0;E1043
1;67.56521739;14.06.2022;-1.72;41.67;-65.77;28.27;79.08;12.85;220.06;0;3.3;14.3;6;2;4.9;1.5;1.7;0;E1043
1;65.39130435;14.07.2022;-1.72;41.66;-65.77;28.27;79.08;12.85;220.08;0;3.4;16.7;5.9;2.1;4.9;1.1;1.8;0;E5055
