ROBO_ID;REG_DATE;TIME;JT1;JT2;JT3;JT4;JT5;JT6;JT7;JT8
1;20.01.2022;23,316;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;15.02.2022;23,32;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;16.02.2022;23,54;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;17.02.2022;23,328;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;18.02.2022;23,292;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;19.02.2022;23,332;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;20.02.2022;23,326;-1,72;41,67;-65,77;28,27;79,08;12,85;220,04;0
1;21.02.2022;23,306;-1,72;41,67;-65,77;28,27;79,08;12,85;220,04;0
1;22.02.2022;23,334;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;23.02.2022;23,334;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;24.02.2022;23,35;-1,72;41,67;-65,77;28,27;79,08;12,85;220,04;0
1;25.02.2022;23,318;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;26.02.2022;23,304;-1,72;41,67;-65,77;28,27;79,08;12,85;220,04;0
1;27.02.2022;23,324;-1,72;41,67;-65,77;28,27;79,08;12,85;220,04;0
1;28.02.2022;23,332;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;1.03.2022;23,346;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;2.03.2022;23,308;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;3.03.2022;23,324;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;4.03.2022;23,324;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;5.03.2022;23,334;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;6.03.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;7.03.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;8.03.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;9.03.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;10.03.2022;23,3;-1,72;41,66;-65,77;28,28;79,08;12,85;220,08;0
1;11.03.2022;23,3;-1,72;41,66;-65,77;28,28;79,08;12,85;220,08;0
1;12.03.2022;23,34;-1,72;41,67;-65,77;28,27;79,08;12,85;220,07;0
1;13.03.2022;23,326;-1,72;41,67;-65,77;28,27;79,08;12,85;220,07;0
1;14.03.2022;23,34;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;15.03.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;16.03.2022;23,348;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;17.03.2022;23,334;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;18.03.2022;23,338;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;19.03.2022;23,334;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;20.03.2022;23,328;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;21.03.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;22.03.2022;23,332;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;23.03.2022;23,338;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;24.03.2022;23,296;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;25.03.2022;23,346;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;26.03.2022;23,332;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;27.03.2022;23,334;-1,72;41,66;-65,77;28,27;79,08;12,85;220,08;0
1;28.03.2022;23,334;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;29.03.2022;23,35;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;30.03.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;31.03.2022;23,336;-1,72;41,67;-65,77;28,27;79,08;12,85;220,04;0
1;1.04.2022;23,338;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;2.04.2022;23,32;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;3.04.2022;23,348;-1,72;41,67;-65,77;28,27;79,08;12,85;220,08;0
1;4.04.2022;23,316;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;5.04.2022;23,196;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;6.04.2022;23,34;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;8.04.2022;23,32;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;9.04.2022;23,282;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;10.04.2022;23,294;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;11.04.2022;23,31;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;12.04.2022;23,35;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;13.04.2022;23,31;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;15.04.2022;23,34;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;16.04.2022;23,354;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;17.04.2022;23,308;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;18.04.2022;23,346;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;19.04.2022;23,34;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;20.04.2022;23,308;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;21.04.2022;23,328;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;22.04.2022;23,296;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;23.04.2022;23,34;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;24.04.2022;23,34;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;25.04.2022;23,322;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;26.04.2022;23,338;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;27.04.2022;23,332;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;28.04.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,05;0
1;29.04.2022;23,208;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;30.04.2022;23,282;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;2.05.2022;23,326;-1,72;41,66;-65,77;28,27;79,08;12,85;220,07;0
1;3.05.2022;23,326;-1,72;41,66;-65,77;28,27;79,08;12,85;220,07;0
1;4.05.2022;23,314;-1,72;41,66;-65,77;28,27;79,08;12,85;220,11;0
1;5.05.2022;23,338;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;6.05.2022;23,354;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;7.05.2022;23,328;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;9.05.2022;23,36;-1,72;41,67;-65,77;28,27;79,08;12,85;220,07;0
1;10.05.2022;23,328;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;11.05.2022;23,346;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;12.05.2022;23,342;-1,72;41,67;-65,77;28,27;79,08;12,85;220,06;0
1;13.05.2022;23,352;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;14.05.2022;23,354;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;16.05.2022;23,336;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;17.05.2022;23,35;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;18.05.2022;23,344;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;19.05.2022;23,344;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;20.05.2022;23,318;-1,72;41,66;-65,77;28,27;79,08;12,85;220,09;0
1;21.05.2022;23,316;-1,72;41,66;-65,77;28,27;79,08;12,85;220,07;0
1;22.05.2022;23,344;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;23.05.2022;23,336;-1,72;41,66;-65,77;28,27;79,08;12,85;220,04;0
1;24.05.2022;23,344;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;25.05.2022;23,304;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;26.05.2022;23,342;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;27.05.2022;23,35;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;28.05.2022;23,364;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;29.05.2022;23,34;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;30.05.2022;23,34;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;31.05.2022;23,336;-1,72;41,66;-65,77;28,27;79,08;12,85;220,07;0
1;1.06.2022;23,318;-1,72;41,66;-65,77;28,27;79,08;12,85;220,08;0
1;2.06.2022;23,336;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;3.06.2022;23,34;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;4.06.2022;23,354;-1,72;41,66;-65,77;28,27;79,08;12,85;220,05;0
1;5.06.2022;23,344;-1,72;41,66;-65,77;28,27;79,08;12,85;220,08;0
1;6.06.2022;23,344;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;7.06.2022;23,336;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
1;8.06.2022;23,364;-1,72;41,66;-65,77;28,27;79,08;12,85;220,06;0
